Node,x,Mach,Density
0,0.00,0.0984,1.0000
1,0.10,0.1104,0.9987
2,0.20,0.1245,0.9971
3,0.30,0.1413,0.9949
4,0.40,0.1614,0.9918
5,0.50,0.1857,0.9877
6,0.60,0.2151,0.9819
7,0.70,0.2510,0.9738
8,0.80,0.2951,0.9623
9,0.90,0.3493,0.9460
10,1.00,0.4160,0.9229
11,1.10,0.4979,0.8905
12,1.20,0.5974,0.8463
13,1.30,0.7161,0.7885
14,1.40,0.8545,0.7171
15,1.50,0.9856,0.6483
16,1.60,1.1816,0.5474
17,1.70,1.3609,0.4620
18,1.80,1.5442,0.3838
19,1.90,1.7273,0.3161
20,2.00,1.9073,0.2597
21,2.10,2.0819,0.2140
22,2.20,2.2502,0.1773
23,2.30,2.4117,0.1480
24,2.40,2.5664,0.1246
25,2.50,2.7142,0.1058
26,2.60,2.8561,0.0906
27,2.70,2.9910,0.0783
28,2.80,3.1230,0.0681
29,2.90,3.2430,0.0598
30,3.00,3.3767,0.0527
